Seg	Seq#	Len
ODT	2	250
OM1	40	60
PV1	39	2
AIG	1	4
AIL	1	4
AIP	1	4
AIS	1	4
AL1	1	4
CM0	1	4
CM1	1	4
CON	1	4
DB1	1	4
DG1	1	4
DSP	1	4
FT1	1	4
GT1	1	4
IAM	1	4
IN1	1	4
IN3	1	4
NK1	1	4
NTE	1	4
OBR	1	4
OBX	1	4
PID	1	4
PR1	1	4
PRA	12	60
PV1	1	4
RGS	1	4
TQ1	1	4
TQ2	1	4
UB1	1	4
UB2	1	4
AFF	1	60
BPO	1	4
BPX	1	4
BTX	1	4
CER	1	4
EDU	1	60
LAN	1	60
ORG	1	60
SPM	1	4
CM2	1	4
TXA	1	4
ERR	4	2
ABS	3	250
OM2	5	60
FAC	9	250
FAC	11	250
FAC	12	250
FAC	10	60
IN1	50	1
IN1	51	8
CER	6	65536
PV2	28	8
PCR	9	8
APR	4	5
SFT	4	20
SFT	2	15
SFT	6	26
SFT	5	1024
SFT	3	20
SFT	1	567
RCP	6	512
NST	2	30
NTE	2	8
NST	3	3
IN2	22	250
IN2	23	30
SAC	43	250
OM4	9	10240
OM7	23	1
PV2	18	2
UB1	12	250
TQ2	10	1
UB2	17	3
PRA	5	112
LDP	4	250
PID	35	250
OM4	6	250
OBR	11	1
SPM	6	250
SPM	23	250
SPM	20	1
SPM	29	250
SPM	12	20
SPM	17	26
SPM	7	250
SPM	10	250
SAC	28	250
SPM	24	250
SPM	25	20
SPM	14	250
SPM	19	26
SPM	15	250
SPM	2	80
SPM	3	80
OM4	13	1
SPM	22	250
OBR	14	26
SPM	18	26
SPM	21	250
OM1	4	1
OM4	12	10240
OM4	14	20
SPM	16	250
SPM	11	250
TCC	3	300
SAC	6	300
OBR	15	300
SPM	8	250
SPM	9	250
SPM	4	250
SPM	5	250
CSR	4	30
CTI	1	60
CSR	1	60
CM0	2	60
PID	19	16
STF	2	250
STF	3	250
STF	4	2
NK1	8	8
AIS	4	26
TQ1	7	26
AIL	6	26
AIP	6	26
AIG	8	26
EQP	3	26
AIL	7	20
AIG	9	20
AIS	5	20
AIP	7	20
AIL	8	250
AIS	6	250
AIG	10	250
AIP	8	250
CNS	5	250
CNS	3	26
CNS	1	20
VAR	3	26
NST	1	1
NST	5	26
NST	4	26
IAM	20	8
IAM	19	250
IAM	18	250
ABS	14	1
IN2	68	1
SPR	3	250
PID	37	80
CSR	13	250
PD1	5	2
NK1	24	2
GT1	40	2
IN2	38	2
CSR	8	250
IPC	3	70
CSP	4	250
CM1	2	250
CTI	2	250
CSP	1	250
CSS	3	250
CSR	11	26
CSS	2	26
CSS	1	250
CTI	3	250
CON	16	1
CER	14	250
CER	12	250
CER	13	250
CER	15	250
CON	8	65536
CON	6	65536
SID	3	200
RXA	16	26
RXG	20	26
RXD	19	26
INV	1	250
SID	2	20
RXG	19	20
RXD	18	20
RXA	15	20
SID	4	250
RXD	20	250
RXG	21	250
RXA	17	250
INV	2	250
INV	3	250
RXA	18	250
RQ1	7	1
RXE	9	1
RXD	11	1
RXG	10	1
RXO	24	250
RXC	7	250
RXD	25	250
RXE	31	250
INV	18	250
PR1	11	250
IN2	66	1
NCK	1	26
RXA	22	26
SAC	40	250
OM1	46	250
INV	20	20
RQ1	6	1
OBR	34	200
OM1	17	250
SAC	31	20
PV1	11	80
TCC	2	80
INV	15	250
OM5	2	250
OM7	8	5
OM7	9	250
OM7	10	60
TQ1	11	250
ODT	3	80
ODS	4	80
MSA	3	80
QAK	5	10
APR	1	80
PR1	18	250
CM0	4	300
CM0	7	8
PV1	48	12
PV1	47	12
RXD	12	10
RXE	19	10
RXO	23	10
PCR	4	8
TQ1	14	10
PV1	49	12
FT1	11	12
FT1	12	12
FT1	3	10
FT1	7	250
EQP	5	65536
FT1	4	53
FT1	8	40
FT1	9	40
FT1	2	12
FT1	5	26
FT1	10	6
FT1	31	4
FT1	6	8
TXA	7	26
OBR	35	200
TXA	11	250
ABS	2	250
PV2	4	250
PV1	29	4
PV1	30	8
CON	17	1
OBR	41	30
OBR	40	250
OBR	38	250
OBR	30	20
SAC	13	80
ODT	1	250
SAC	12	250
SAC	30	250
ABS	6	250
PID	39	250
ODS	1	1
IN1	31	2
GP1	1	3
OM1	23	20
UB1	20	30
UB1	22	8
UB1	23	17
UB1	21	7
UB2	10	12
UB2	9	29
UB2	11	5
UB2	13	4
UB2	14	14
UB2	15	27
UB2	16	2
TXA	16	30
TXA	12	30
FT1	22	12
TCC	13	250
OBX	6	250
OM2	2	250
TCC	1	250
TCD	1	250
OM7	2	250
OBR	4	250
AIS	3	250
OBX	13	20
ERR	8	250
QPD	3	256
OM3	3	250
LDP	5	1
PRC	4	1
UB2	6	41
UB1	10	41
OBX	2	2
OM3	7	2
VAR	5	250
VAR	6	512
VAR	1	60
VAR	4	250
RQ1	5	16
RQ1	4	250
IN1	30	250
IN1	29	26
IN1	45	2
ORC	11	250
CER	3	80
MSH	12	60
PID	27	250
GT1	57	2
PV1	16	2
IN1	53	2
NK1	39	2
VTQ	4	250
PV2	12	50
PV1	51	1
PV1	19	250
PV2	25	1
PV2	22	1
PV2	21	1
PV2	7	2
LDP	10	80
SAC	24	250
VTQ	3	250
QRD	11	20
QRD	10	250
QRD	9	250
QRF	4	60
QRF	3	26
QRF	2	26
QRF	9	60
BLG	1	40
QRF	1	20
QRF	6	12
QRF	7	12
QRD	8	250
